nombre,código,"Cod. Materia",Semestre,Grupo,,,"Descripcion Evaluacion",Porcentaje,Descripcion,"Nom. Materia",,Nota,"Nota Definitiva"
Absalón,5,ST0242,20142,34,,,"Diseño del problema",5,"4-TRABAJO FINAL","FUNDAMENTOS DE PROGRAMACIÓN",,30,27

Absalón,5,ST0242,20142,34,,,Quices,10,2-SEGUIMIENTO,"FUNDAMENTOS DE PROGRAMACIÓN",,50,27

Acacio,6,ST0242,20142,34,,,Quices,10,2-SEGUIMIENTO,"FUNDAMENTOS DE PROGRAMACIÓN",,50,35

Acacio,6,ST0242,20142,34,,,"Primer parcial",10,1-PARCIAL,"FUNDAMENTOS DE PROGRAMACIÓN",,50,35

Acacio,6,ST0242,20142,34,,,"Tercer parcial",15,1-PARCIAL,"FUNDAMENTOS DE PROGRAMACIÓN",,23,35

Acacio,6,ST0242,20142,34,,,"Análisis del problema",5,"4-TRABAJO FINAL","FUNDAMENTOS DE PROGRAMACIÓN",,35,35

Acacio,6,ST0242,20142,34,,,"Segundo parcial",15,1-PARCIAL,"FUNDAMENTOS DE PROGRAMACIÓN",,18,35

Acacio,6,ST0242,20142,34,,,"Sustentación. Fecha del examen final.",20,"4-TRABAJO FINAL","FUNDAMENTOS DE PROGRAMACIÓN",,47,35

Acacio,6,ST0242,20142,34,,,"Diseño del problema",5,"4-TRABAJO FINAL","FUNDAMENTOS DE PROGRAMACIÓN",,40,35

Acacio,6,ST0242,20142,34,,,Tareas,20,2-SEGUIMIENTO,"FUNDAMENTOS DE PROGRAMACIÓN",,26,35

Adalberto,7,ST0242,20142,33,,,"Parcial número 1",10,2-SEGUIMIENTO,"FUNDAMENTOS DE PROGRAMACIÓN",,43,48

Adalberto,7,ST0242,20142,33,,,"Práctica Final",30,"4-TRABAJO FINAL","FUNDAMENTOS DE PROGRAMACIÓN",,49,48

Adalberto,7,ST0242,20142,33,,,"Parcial número 3",15,1-PARCIAL,"FUNDAMENTOS DE PROGRAMACIÓN",,50,48

Adalberto,7,ST0242,20142,33,,,"Quizzes semanales",10,2-SEGUIMIENTO,"FUNDAMENTOS DE PROGRAMACIÓN",,50,48

Adalberto,7,ST0242,20142,33,,,"Talleres semanales",20,2-SEGUIMIENTO,"FUNDAMENTOS DE PROGRAMACIÓN",,44,48

Adalberto,7,ST0242,20142,33,,,"Parcial número 2",15,1-PARCIAL,"FUNDAMENTOS DE PROGRAMACIÓN",,50,48

Adán,8,ST0242,20142,34,,,Quices,10,2-SEGUIMIENTO,"FUNDAMENTOS DE PROGRAMACIÓN",,50,41

Adán,8,ST0242,20142,34,,,"Análisis del problema",5,"4-TRABAJO FINAL","FUNDAMENTOS DE PROGRAMACIÓN",,45,41

Adán,8,ST0242,20142,34,,,"Sustentación. Fecha del examen final.",20,"4-TRABAJO FINAL","FUNDAMENTOS DE PROGRAMACIÓN",,50,41

Adán,8,ST0242,20142,34,,,"Primer parcial",10,1-PARCIAL,"FUNDAMENTOS DE PROGRAMACIÓN",,29,41

Adán,8,ST0242,20142,34,,,"Diseño del problema",5,"4-TRABAJO FINAL","FUNDAMENTOS DE PROGRAMACIÓN",,45,41

Adán,8,ST0242,20142,34,,,"Tercer parcial",15,1-PARCIAL,"FUNDAMENTOS DE PROGRAMACIÓN",,39,41

Adán,8,ST0242,20142,34,,,Tareas,20,2-SEGUIMIENTO,"FUNDAMENTOS DE PROGRAMACIÓN",,40,41

Adán,8,ST0242,20142,34,,,"Segundo parcial",15,1-PARCIAL,"FUNDAMENTOS DE PROGRAMACIÓN",,29,41

Adela,9,ST0242,20142,34,,,"Sustentación. Fecha del examen final.",20,"4-TRABAJO FINAL","FUNDAMENTOS DE PROGRAMACIÓN",,10,40

Adela,9,ST0242,20142,34,,,Quices,10,2-SEGUIMIENTO,"FUNDAMENTOS DE PROGRAMACIÓN",,50,40

Adela,9,ST0242,20142,34,,,"Diseño del problema",5,"4-TRABAJO FINAL","FUNDAMENTOS DE PROGRAMACIÓN",,45,40

Adela,9,ST0242,20142,34,,,"Segundo parcial",15,1-PARCIAL,"FUNDAMENTOS DE PROGRAMACIÓN",,50,40

Adela,9,ST0242,20142,34,,,Tareas,20,2-SEGUIMIENTO,"FUNDAMENTOS DE PROGRAMACIÓN",,44,40

Adela,9,ST0242,20142,34,,,"Tercer parcial",15,1-PARCIAL,"FUNDAMENTOS DE PROGRAMACIÓN",,47,40

Adela,9,ST0242,20142,34,,,"Análisis del problema",5,"4-TRABAJO FINAL","FUNDAMENTOS DE PROGRAMACIÓN",,45,40

Adela,9,ST0242,20142,34,,,"Primer parcial",10,1-PARCIAL,"FUNDAMENTOS DE PROGRAMACIÓN",,49,40

Adelaida,10,ST0242,20142,34,,,"Diseño del problema",5,"4-TRABAJO FINAL","FUNDAMENTOS DE PROGRAMACIÓN",,45,38

Adelaida,10,ST0242,20142,34,,,"Sustentación. Fecha del examen final.",20,"4-TRABAJO FINAL","FUNDAMENTOS DE PROGRAMACIÓN",,35,38

Adelaida,10,ST0242,20142,34,,,"Primer parcial",10,1-PARCIAL,"FUNDAMENTOS DE PROGRAMACIÓN",,35,38

Adelaida,10,ST0242,20142,34,,,"Tercer parcial",15,1-PARCIAL,"FUNDAMENTOS DE PROGRAMACIÓN",,37,38

Adelaida,10,ST0242,20142,34,,,"Análisis del problema",5,"4-TRABAJO FINAL","FUNDAMENTOS DE PROGRAMACIÓN",,40,38

Adelaida,10,ST0242,20142,34,,,"Segundo parcial",15,1-PARCIAL,"FUNDAMENTOS DE PROGRAMACIÓN",,26,38

Adelaida,10,ST0242,20142,34,,,Tareas,20,2-SEGUIMIENTO,"FUNDAMENTOS DE PROGRAMACIÓN",,43,38

Adelaida,10,ST0242,20142,34,,,Quices,10,2-SEGUIMIENTO,"FUNDAMENTOS DE PROGRAMACIÓN",,50,38

Adolfo,11,ST0242,20142,33,,,"Práctica Final",30,"4-TRABAJO FINAL","FUNDAMENTOS DE PROGRAMACIÓN",,50,41

Adolfo,11,ST0242,20142,33,,,"Parcial número 3",15,1-PARCIAL,"FUNDAMENTOS DE PROGRAMACIÓN",,38,41

Adolfo,11,ST0242,20142,33,,,"Parcial número 2",15,1-PARCIAL,"FUNDAMENTOS DE PROGRAMACIÓN",,24,41

Adolfo,11,ST0242,20142,33,,,"Talleres semanales",20,2-SEGUIMIENTO,"FUNDAMENTOS DE PROGRAMACIÓN",,45,41

Adolfo,11,ST0242,20142,33,,,"Quizzes semanales",10,2-SEGUIMIENTO,"FUNDAMENTOS DE PROGRAMACIÓN",,50,41

Adolfo,11,ST0242,20142,33,,,"Parcial número 1",10,2-SEGUIMIENTO,"FUNDAMENTOS DE PROGRAMACIÓN",,25,41

Adón,12,ST0242,20142,34,,,"Primer parcial",10,1-PARCIAL,"FUNDAMENTOS DE PROGRAMACIÓN",,20,34

Adón,12,ST0242,20142,34,,,Quices,10,2-SEGUIMIENTO,"FUNDAMENTOS DE PROGRAMACIÓN",,50,34

Adón,12,ST0242,20142,34,,,"Análisis del problema",5,"4-TRABAJO FINAL","FUNDAMENTOS DE PROGRAMACIÓN",,30,34

Adón,12,ST0242,20142,34,,,"Tercer parcial",15,1-PARCIAL,"FUNDAMENTOS DE PROGRAMACIÓN",,24,34

Adón,12,ST0242,20142,34,,,"Sustentación. Fecha del examen final.",20,"4-TRABAJO FINAL","FUNDAMENTOS DE PROGRAMACIÓN",,50,34

Adón,12,ST0242,20142,34,,,Tareas,20,2-SEGUIMIENTO,"FUNDAMENTOS DE PROGRAMACIÓN",,42,34

Adón,12,ST0242,20142,34,,,"Segundo parcial",15,1-PARCIAL,"FUNDAMENTOS DE PROGRAMACIÓN",,14,34

Adón,12,ST0242,20142,34,,,"Diseño del problema",5,"4-TRABAJO FINAL","FUNDAMENTOS DE PROGRAMACIÓN",,35,34

Adrián,13,ST0242,20142,34,,,"Primer parcial",10,1-PARCIAL,"FUNDAMENTOS DE PROGRAMACIÓN",,47,44

Adrián,13,ST0242,20142,34,,,"Segundo parcial",15,1-PARCIAL,"FUNDAMENTOS DE PROGRAMACIÓN",,50,44

Adrián,13,ST0242,20142,34,,,"Tercer parcial",15,1-PARCIAL,"FUNDAMENTOS DE PROGRAMACIÓN",,48,44

Adrián,13,ST0242,20142,34,,,Quices,10,2-SEGUIMIENTO,"FUNDAMENTOS DE PROGRAMACIÓN",,50,44

Adrián,13,ST0242,20142,34,,,Tareas,20,2-SEGUIMIENTO,"FUNDAMENTOS DE PROGRAMACIÓN",,41,44

Adrián,13,ST0242,20142,34,,,"Diseño del problema",5,"4-TRABAJO FINAL","FUNDAMENTOS DE PROGRAMACIÓN",,45,44

Adrián,13,ST0242,20142,34,,,"Sustentación. Fecha del examen final.",20,"4-TRABAJO FINAL","FUNDAMENTOS DE PROGRAMACIÓN",,45,44

Adrián,13,ST0242,20142,34,,,"Análisis del problema",5,"4-TRABAJO FINAL","FUNDAMENTOS DE PROGRAMACIÓN",,0,44

Agustín,14,ST0242,20142,33,,,"Parcial número 1",10,2-SEGUIMIENTO,"FUNDAMENTOS DE PROGRAMACIÓN",,36,42

Agustín,14,ST0242,20142,33,,,"Parcial número 2",15,1-PARCIAL,"FUNDAMENTOS DE PROGRAMACIÓN",,40,42

Agustín,14,ST0242,20142,33,,,"Quizzes semanales",10,2-SEGUIMIENTO,"FUNDAMENTOS DE PROGRAMACIÓN",,50,42

Agustín,14,ST0242,20142,33,,,"Talleres semanales",20,2-SEGUIMIENTO,"FUNDAMENTOS DE PROGRAMACIÓN",,35,42

Agustín,14,ST0242,20142,33,,,"Práctica Final",30,"4-TRABAJO FINAL","FUNDAMENTOS DE PROGRAMACIÓN",,44,42

Agustín,14,ST0242,20142,33,,,"Parcial número 3",15,1-PARCIAL,"FUNDAMENTOS DE PROGRAMACIÓN",,48,42

Aitor,15,ST0242,20142,34,,,"Tercer parcial",15,1-PARCIAL,"FUNDAMENTOS DE PROGRAMACIÓN",,50,46

Aitor,15,ST0242,20142,34,,,"Sustentación. Fecha del examen final.",20,"4-TRABAJO FINAL","FUNDAMENTOS DE PROGRAMACIÓN",,45,46

Aitor,15,ST0242,20142,34,,,Tareas,20,2-SEGUIMIENTO,"FUNDAMENTOS DE PROGRAMACIÓN",,47,46

Aitor,15,ST0242,20142,34,,,Quices,10,2-SEGUIMIENTO,"FUNDAMENTOS DE PROGRAMACIÓN",,50,46

Aitor,15,ST0242,20142,34,,,"Análisis del problema",5,"4-TRABAJO FINAL","FUNDAMENTOS DE PROGRAMACIÓN",,40,46

Aitor,15,ST0242,20142,34,,,"Diseño del problema",5,"4-TRABAJO FINAL","FUNDAMENTOS DE PROGRAMACIÓN",,35,46

Aitor,15,ST0242,20142,34,,,"Segundo parcial",15,1-PARCIAL,"FUNDAMENTOS DE PROGRAMACIÓN",,50,46

Aitor,15,ST0242,20142,34,,,"Primer parcial",10,1-PARCIAL,"FUNDAMENTOS DE PROGRAMACIÓN",,41,46

Alba,16,ST0242,20142,33,,,"Práctica Final",30,"4-TRABAJO FINAL","FUNDAMENTOS DE PROGRAMACIÓN",,49,44

Alba,16,ST0242,20142,33,,,"Talleres semanales",20,2-SEGUIMIENTO,"FUNDAMENTOS DE PROGRAMACIÓN",,43,44

Alba,16,ST0242,20142,33,,,"Parcial número 2",15,1-PARCIAL,"FUNDAMENTOS DE PROGRAMACIÓN",,40,44

